module_name_en,teacher_name_en,module_abstract_en,SIR_desc_en,module_name_fr,teacher_name_fr,module_abstract_fr,SIR_desc_fr
JAVA ORIENTED OBJECT PROGRAMMING,,"reification, encapsulation, inheritance, polymorphism. The implementation of these concepts will be done in Java. This module will allow students to master the object approach to be operational in software development based on Java.",,PROGRAMMATION ORIENTEE OBJET JAVA,,"réification, encapsulation, héritage, polymorphisme. La mise en œuvre des ces concepts sera fait en Java. Ce module permettra aux étudiants de maîtriser l’approche objet pour être opérationnels dans le développement logiciel se basant sur Java.",
OPERATING SYSTEM,,"The operating system offers a suite of general services that facilitate the creation of application software. The services offered are related to the use of computer resources by the programs. In particular, they make it possible to execute programs, read and write information, manipulate files, communicate between computers and detect errors. These services allow multiple users and multiple programs to share computer resources.
This course will allow students to Master the principles and role of operating systems - Use operating systems with high professional exploitation. Its objective is mainly oriented towards users of LINUX and Windows Server who develop and design Information Systems under these systems.",,SYSTEME D’EXPLOITATION	,,"Le système d'exploitation offre une suite de services généraux qui facilitent la création de logiciels applicatifs. Les services offerts sont en rapport avec l'utilisation des ressources de l'ordinateur par les programmes. Ils permettent en particulier d'exécuter des programmes, de lire et écrire des informations, de manipuler les fichiers, de communiquer entre ordinateurs et de déceler des erreurs. Ces services permettent à plusieurs usagers et plusieurs programmes de se partager les ressources de l'ordinateur.
Ce cours permettra aux étudiants de Maîtriser les principes et le rôle des systèmes d’exploitation – Utiliser les systèmes d’exploitation à forte exploitation professionnelle. Son objectif est surtout orienté vers les utilisateurs de LINUX et Windows Server qui développement et conçoivent  des Systèmes d'information sous ces systèmes.",
UML AND AGILE METHODS,,"course allows students to master and acquire all the techniques of analysis and design by object used in the context of information systems: This course is particularly aimed at learning the concepts of the object approach and formalism UML - Realization of case study: elaboration of specification, preliminary and detailed design file from a specification.
Agile methods are an innovative movement in the software industry, which is changing the nature of the client-supplier relationship, and the functioning of the development team. The objective is to acquire knowledge on the principles and techniques related to this movement.",,UML ET METHODES AGILES,,"cours permet aux étudiants de maîtriser et d’acquérir l'ensemble des techniques d'analyse et de conception par objet utilisés dans le cadre des systèmes d'Information : Ce cours vise particulièrement l'Apprentissage des concepts de l'approche objet et du formalisme UML - Réalisation d'étude de cas : élaboration de spécification, de dossier de conception préliminaire et détaillée à partir d'un cahier des charge .
Les méthodes agiles constituent un mouvement novateur dans l’industrie du logiciel, qui fait évoluer la nature de la relation client-fournisseur, et le fonctionnement de l’équipe de développement. L’objectif est d’acquérir des connaissances sur les principes et les techniques liées à ce mouvement.",
SGBD / SGBDR,,"The objective of the course is to quickly take stock of the evolution of database management systems. It aims to study relational databases in particular. These notions are illustrated by relational algebra, relational normalization and practical work in SQL language under Oracle and SQL Server.",,SGBD / SGBDR,,"L’objectif du cours est de faire rapidement le point sur l’évolution des systèmes de gestion de bases de données. Il vise à étudier plus particulièrement les bases de données relationnelles. Ces notions sont illustrées par l’algèbre relationnelle, la normalisation relationnelle et les travaux pratiques en langage SQL sous Oracle et SQL Server.",
COMPUTER NETWORKS,,"Make students aware of the basic notions of networks, standardization, the various connection elements, addressing, IP routing and computer equipment management",,RESEAUX INFORMATIQUES,,"Sensibiliser les étudiants aux notions de base des réseaux, la normalisation, les différents éléments de connectique, l’adressage, le routage IP et la gestion de parc informatique",
DISTRIBUTED DATABASES,,The objective of this module is to deepen the knowledge of the students in the field of databases and especially on the distributed and parallel aspects. This course covers both design methodologies and the most recent techniques implemented in DBMS kernels.,,BASES DE DONNES REPARTIE,,L'objectif de ce module est d'approfondir les connaissances des étudiants dans le domaine des bases de données et tout particulièrement sur les aspects distribués et parallèles. Cet enseignement aborde à la fois les méthodologies de conception et les techniques les plus récentes mises en œuvre dans les noyaux des SGBD.,
IHM,,"human-computer interaction, the basic principles of interface design as well as the design and implementation of graphical interfaces. The course uses java awt and swing as development tools.",,IHM,,"l'interaction Homme-Machine, aux principes de base de la conception d'une interface ainsi qu'à la conception et l'implantation des interfaces graphiques. Le cours utilise les awt et swing de java comme outils de développement.",
WEB PROGRAMMING,,"1. Introduce students to client/web server architectures and development tools for the web server

2. Study a customer-oriented language with interaction with databases.

3. Study development tools for the web server. It is about studying a language

server-oriented (ex. PHP) with interaction with databases (ex. MySQL)

4 This background will be used by students to practice and master the development of static or dynamic websites

5 Introduce students to the notions of JQuery and Ajax",,PROGRAMMATION WEB,,"1. Initier les étudiants sur des architectures clients/serveur web et des outils de développement pour le serveur web

2. Etudier un langage orienté client avec une interaction avec les bases de données.

3. Etudier des outils de développement pour le serveur Web. Il s’agit d’étudier un langage

orienté serveur (ex. PHP) avec une interaction avec les bases de données (ex. MySQL)

4 Ce bagage servira  aux étudiants de pratiquer et de maîtriser le développement de sites web statique ou dynamique

5 Introduire aux étudiants les notions de JQuery et Ajax",
C language Relational databases,,"The distributed architecture offers methods and tools to simplify the development of client/server network applications, by trying to abstract itself from the remote aspect, making it possible to offer natural programming 'For heavy applications': the aim of the course is to initiate students to master and practice the breakdown of applications and to rationalize the distribution of services to limit the exchange of information",,Langage C Bases de données relationnelles,,"L’architecture répartie propose des méthodes et outils pour simplifier le développement d’application réseau client/serveur, en essayant de s'abstraire de l’aspect distant permettant de proposer une programmation naturelle 'Pour les applications lourdes' : le but du cours est d’initier les étudiants à maîtriser et de pratiquer la décomposition d’applications et de rationaliser la répartition des services pour limiter les échanges d’informations",
PROJECT GRADUATION,,"The End of Study Project will allow students to prepare for their entry into working life, to apply their computer knowledge acquired during training, to industrial, economic, social or management problems.",,PROJET DE FIN D’ETUDES	,,"Le Projet Fin d’Etude permettra aux étudiants de préparer leur entrée dans la vie active, pour appliquer leurs connaissances informatiques acquises lors de la formation, aux problèmes industriels, économiques, sociaux ou de gestion.",
,,,"The Distributed Computing Systems license (SIR) was designed following the reflection that was carried out by the council of our establishment on the role that computing can play in our society, on the interest that new techniques can present of training and on our role according to our skills and the changes that our society is experiencing. For us, it is a question, first of all, of giving to data processing, in our society, the place that it really occupies in the modern world and, then, of integrating new training techniques to produce skills capable of to meet a growing and diversified demand. Information technology is undergoing profound changes and, almost everywhere in the world.",,,,"La licence Systèmes Informatiques Répartis (SIR) a été conçue à la suite de la réflexion qui a été menée  par le conseil de notre établissement sur le rôle que peut jouer  l’informatique dans notre société, sur l’intérêt que peut présenter les nouvelles techniques  de formation et sur notre rôle en fonction de nos compétences et des mutations que connaît notre société.  Pour nous, il s’agit, tout d’abord, de donner à l’informatique, dans notre société, la place qu’elle occupe réellement dans le monde moderne et, ensuite, intégrer les nouvelles techniques de formation pour produire des compétences capables de répondre à une demande croissante et diversifiée. L’informatique connaît de profondes mutations et, un peu partout dans le monde."
